"title","url","platform","options","description","numforecasts","stars"
"Next Cabinet Member to leave","https://smarkets.com/event/41589478/politics/uk/cabinet/next-cabinet-member-to-leave","Smarkets","[{""name"":""Boris Johnson"",""probability"":0.07564130673098006,""type"":""PROBABILITY""},{""name"":""Rishi Sunak"",""probability"":0.05481254110940583,""type"":""PROBABILITY""},{""name"":""Dominic Raab"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Priti Patel"",""probability"":0.04768691076518307,""type"":""PROBABILITY""},{""name"":""Michael Gove"",""probability"":0.1043630782723087,""type"":""PROBABILITY""},{""name"":""Robert Buckland"",""probability"":0.08770006577504934,""type"":""PROBABILITY""},{""name"":""Ben Wallace"",""probability"":0.13045384784038588,""type"":""PROBABILITY""},{""name"":""Matt Hancock"",""probability"":0.06851567638675729,""type"":""PROBABILITY""},{""name"":""Alok Sharma"",""probability"":0.07827230870423152,""type"":""PROBABILITY""},{""name"":""Elizabeth Truss"",""probability"":0.05930716948037711,""type"":""PROBABILITY""},{""name"":""Thérèse Coffey"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Gavin Williamson"",""probability"":0.16125849594387198,""type"":""PROBABILITY""},{""name"":""George Eustice"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Robert Jenrick"",""probability"":0.08430168822626617,""type"":""PROBABILITY""},{""name"":""Grant Shapps"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Brandon Lewis"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Alister Jack"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Simon Hart"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Baroness Evans of Bowes Park"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Oliver Dowden"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Amanda Milling"",""probability"":0.04768691076518307,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Party to get the most seats","https://smarkets.com/event/41607302/politics/uk/next-uk-general-election/most-seats-by-party","Smarkets","[{""name"":""Labour"",""probability"":0.4190312410432789,""type"":""PROBABILITY""},{""name"":""Conservatives"",""probability"":0.527849431546766,""type"":""PROBABILITY""},{""name"":""Liberal Democrats"",""probability"":0.05311932740995509,""type"":""PROBABILITY""}]","Contracts to be added on request.",,"★★☆☆☆"
"USA and UK to sign a trade deal in 2021","https://smarkets.com/event/41616796/politics/uk/brexit/uk-usa-trade-deal","Smarkets","[{""name"":""Yes"",""probability"":0.25555450505814503,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.744445494941855,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Year of next General Election in Hungary","https://smarkets.com/event/41618602/politics/europe/hungary/year-of-next-general-election","Smarkets","[{""name"":""2022 or earlier"",""probability"":0.3964413291096583,""type"":""PROBABILITY""},{""name"":""2023"",""probability"":0.2011862236301139,""type"":""PROBABILITY""},{""name"":""2024"",""probability"":0.2011862236301139,""type"":""PROBABILITY""},{""name"":""2025 or later"",""probability"":0.2011862236301139,""type"":""PROBABILITY""}]","The Hungarian parliament passed a state of emergency bill in March 2020 giving prime minister Viktor Orbán the power to rule by decree, only ending when Orbán's government sees fit. During this period, no elections will be held. The next Hungarian parliamentary election is scheduled to take place in 2022 or earlier, but will it?",,"★★☆☆☆"
"Most seats in the Welsh Assembly Elections 2021","https://smarkets.com/event/41618654/politics/uk/scotland/welsh-assembly-elections-2021","Smarkets","[{""name"":""Labour"",""probability"":0.8492647058823529,""type"":""PROBABILITY""},{""name"":""Conservatives"",""probability"":0.10473227752639516,""type"":""PROBABILITY""},{""name"":""Plaid Cymru"",""probability"":0.032522624434389136,""type"":""PROBABILITY""},{""name"":""Liberal Democrats"",""probability"":0.013480392156862742,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Winner of the 2022 French presidential election","https://smarkets.com/event/41620572/politics/europe/france/french-presidential-election-2022","Smarkets","[{""name"":""Emmanuel Macron"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Marine Le Pen"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Jean-Luc Mélenchon"",""probability"":null,""type"":""PROBABILITY""},{""name"":""François Baroin"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Xavier Bertrand"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Yannick Jadot"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Olivier Faure"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Jean-Marie Bigard"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Jean Lassalle"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Joachim Son-Forget"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Anne Hidalgo"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Bernard Cazeneuve"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Nicolas Dupont-Aignan"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Arnaud Montebourg"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Ségolène Royal"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Florian Philippot"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Edouard Philippe"",""probability"":null}]","Which candidate will win the 2022 French presidential election?",,"★★☆☆☆"
"Macron first round vote share","https://smarkets.com/event/41620572/politics/europe/france/french-presidential-election-2022","Smarkets","[{""name"":""Under 25%"",""probability"":0.5155602574274882,""type"":""PROBABILITY""},{""name"":""25% or over"",""probability"":0.48443974257251166,""type"":""PROBABILITY""},{""probability"":0,""type"":""PROBABILITY""},{""probability"":0,""type"":""PROBABILITY""}]","What will incumbent president Emmanuel Macron's vote share be in the first round of the 2022 French presidential election?",,"★★☆☆☆"
"Next permanent leader of the Labour Party, after Keir Starmer","https://smarkets.com/event/41622144/politics/uk/uk-party-leaders/next-labour-leader-after-starmer","Smarkets","[{""name"":""Angela Rayner"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Lisa Nandy"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Sadiq Khan"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Rebecca Long-Bailey"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Anneliese Dodds"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Rosena Allin-Khan"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Andy Burnham"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Yvette Cooper"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Clive Lewis"",""probability"":null,""type"":""PROBABILITY""},{""name"":""John McDonnell"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Ian Lavery"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Dan Jarvis"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Emily Thornberry"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Nick Thomas-Symonds"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Sam Tarry"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Louise Haigh"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Richard Burgon"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Dawn Butler"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Dan Carden"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Jess Phillips"",""probability"":null,""type"":""PROBABILITY""},{""name"":""David Lammy"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Jon Trickett"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Barry Gardiner"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Seema Malhotra"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Jonathan Ashworth"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Ed Miliband"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Hilary Benn"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Stella Creasy"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Rachel Reeves"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Laura Pidcock"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Charlotte Nichols"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Kate Osborne"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Margaret Greenwood"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Zarah Sultana"",""probability"":null}]","Keir Starmer was elected Labour Party leader on 4 April 2020. Who will be his successor?

Other candidates available on request.",,"★★☆☆☆"
"Gender of the next Labour leader","https://smarkets.com/event/41622144/politics/uk/uk-party-leaders/next-labour-leader-after-starmer","Smarkets","[{""name"":""Female"",""probability"":0.5508474576271186,""type"":""PROBABILITY""},{""name"":""Male"",""probability"":0.4491525423728813,""type"":""PROBABILITY""}]","The Labour Party has never had a permanent female leader. Could Keir Starmer's successor be the first?",,"★★☆☆☆"
"Year of next General Election to take place in Israel","https://smarkets.com/event/41634554/politics/world/israel/year-of-next-israeli-general-election","Smarkets","[{""name"":""2020"",""probability"":0.03763359927743489,""type"":""PROBABILITY""},{""name"":""2021"",""probability"":0.7307692307692307,""type"":""PROBABILITY""},{""name"":""2022 or later"",""probability"":0.23159716995333432,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
