"title","url","platform","options","description","numforecasts","stars"
"Irish reunification referendum before 2023","https://smarkets.com/event/41676064/politics/uk/scotland/irish-reunification-referendum-before-2023","Smarkets","[{""name"":""Yes"",""probability"":0.17627357659086904,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8237264234091309,""type"":""PROBABILITY""}]","Will Northern Ireland hold a referendum on Irish reunification on or before 31 December 2022?",,"★★☆☆☆"
"Next Scottish First Minister","https://smarkets.com/event/41696009/politics/uk/scotland/next-scottish-first-minister","Smarkets","[{""name"":""Kate Forbes"",""probability"":0.4077608142493639,""type"":""PROBABILITY""},{""name"":""Angus Robertson"",""probability"":0,""type"":""PROBABILITY""},{""name"":""John Swinney"",""probability"":0.4077608142493639,""type"":""PROBABILITY""},{""name"":""Keith Brown"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Humza Yousaf"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Shirley-Anne Somerville"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Russell"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ruth Davidson"",""probability"":0.18447837150127228,""type"":""PROBABILITY""},{""name"":""Shona Robison"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Richard Leonard"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Mhairi Black"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Matheson"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Joanna Cherry"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Jackson Carlaw"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Stewart Hosie"",""probability"":0,""type"":""PROBABILITY""}]","Who will be the next First Minister of Scotland after Nicola Sturgeon? Other contracts available on request.",,"★★☆☆☆"
"French Presidential election to happen before 2022","https://smarkets.com/event/41709221/politics/europe/france/early-presidential-election","Smarkets","[{""name"":""Yes"",""probability"":0.1252665739452944,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8747334260547056,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Will Keir Starmer face a leadership challenge?","https://smarkets.com/event/41730234/politics/uk/uk-party-leaders/keir-starmer-to-face-leadership-challenge","Smarkets","[{""name"":""Yes"",""probability"":0.17219113215669393,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8278088678433061,""type"":""PROBABILITY""}]","Will any candidate receive the nominations of at least 20% of Labour MPs to challenge Keir Starmer for the party leadership before the next UK general election?",,"★★☆☆☆"
"UK to begin imports of chlorinated chicken","https://smarkets.com/event/41731856/politics/uk/brexit/chlorinated-chicken","Smarkets","[{""name"":""Yes"",""probability"":0.06568897036358082,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9343110296364192,""type"":""PROBABILITY""}]","Will the UK begin importing chlorine-washed chicken products following the end of the transition period on 31 December 2020, but on or before 30 June 2021?",,"★★☆☆☆"
"Washington, D.C. to become a state before 2022","https://smarkets.com/event/41736144/politics/us/51st-state/washington-d-c-to-become-a-state-by-2021","Smarkets","[{""name"":""Yes"",""probability"":0.16320736244370473,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8367926375562953,""type"":""PROBABILITY""}]","Will Washington, D.C. become a state before 1 January 2022?",,"★★☆☆☆"
"Puerto Rico to become a state before 2022","https://smarkets.com/event/41736169/politics/us/51st-state/puerto-rico-to-become-a-state-before-2022","Smarkets","[{""name"":""Yes"",""probability"":0.12472560367192177,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8752743963280782,""type"":""PROBABILITY""}]","Will Puerto Rico become a state before 1 January 2022?",,"★★☆☆☆"
"Next Fianna Fáil leader","https://smarkets.com/event/41761772/politics/europe/ireland/next-fianna-fail-leader-after-micheal-martin","Smarkets","[{""name"":""Jim O'Callaghan"",""probability"":0.39789438502673796,""type"":""PROBABILITY""},{""name"":""Michael McGrath"",""probability"":0.3410762032085562,""type"":""PROBABILITY""},{""name"":""Dara Calleary"",""probability"":0.2610294117647059,""type"":""PROBABILITY""},{""name"":""Thomas Byrne"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Niall Collins"",""probability"":0,""type"":""PROBABILITY""},{""name"":""James Lawless"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Paul McAuliffe"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Darragh O'Brien"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Norma Foley"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Robert Troy"",""probability"":0,""type"":""PROBABILITY""},{""name"":""John McGuinness"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Jack Chambers"",""probability"":0,""type"":""PROBABILITY""},{""name"":""James Browne"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Anne Rabbitte"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Seán Ó Fearghail"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Eamon O'Cuiv"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Mary Butler"",""probability"":0,""type"":""PROBABILITY""}]","Who will be the next permanent Fianna Fáil leader after Micheál Martin? Contracts added on request.",,"★★☆☆☆"
"Next Scottish independence referendum result (before 2022)","https://smarkets.com/event/41774246/politics/uk/scotland/result-of-indie-ref","Smarkets","[{""name"":""For independence"",""probability"":0.5534059668058242,""type"":""PROBABILITY""},{""name"":""Against independence"",""probability"":0.4465940331941757,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Will the SNP have an overall majority following the 2021 Scottish Election?","https://smarkets.com/event/41793318/politics/uk/scotland/2021-scottish-parliament-election-snp-majority","Smarkets","[{""name"":""Yes"",""probability"":0.8137771918259723,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.1862228081740277,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Next general election overall majority","https://smarkets.com/event/41817534/politics/uk/next-uk-general-election/next-general-election-overall-majority","Smarkets","[{""name"":""No overall majority"",""probability"":0.4391107613614007,""type"":""PROBABILITY""},{""name"":""Conservative majority"",""probability"":0.30739720637418844,""type"":""PROBABILITY""},{""name"":""Labour majority"",""probability"":0.24906551249262243,""type"":""PROBABILITY""},{""name"":""Liberal Democrat majority"",""probability"":0.004426519771788313,""type"":""PROBABILITY""}]","Which party (if any) will win an overall majority at the next UK general election? Contracts added on request.",,"★★☆☆☆"
"Date of next Japanese general election","https://smarkets.com/event/41891949/politics/world/japan/date-of-next-general-election","Smarkets","[{""name"":""Before 22 October 2021"",""probability"":0.5904173106646059,""type"":""PROBABILITY""},{""name"":""22 October 2021 or later"",""probability"":0.4095826893353941,""type"":""PROBABILITY""}]","When will the next Japanese general election take place?",,"★★☆☆☆"
"Belarus to have a General Election in 2021","https://smarkets.com/event/41933267/politics/europe/belorussia/general-election","Smarkets","[{""name"":""Yes"",""probability"":0.4664641271325076,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5335358728674924,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Joe Biden to serve full term","https://smarkets.com/event/41935107/politics/us/joe-biden/biden-to-serve-full-term","Smarkets","[{""name"":""Yes"",""probability"":0.5526118000751598,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.44738819992484025,""type"":""PROBABILITY""}]","Will Joe Biden serve his first term as President of the United States in full? See market rules for more details.",,"★★☆☆☆"
"2024 Democratic presidential nominee","https://smarkets.com/event/41936389/politics/us/2024-presidential-election/2024-democratic-presidential-nominee","Smarkets","[{""name"":""Joe Biden"",""probability"":0.38062883026911803,""type"":""PROBABILITY""},{""name"":""Kamala Harris"",""probability"":0.3976818545163869,""type"":""PROBABILITY""},{""name"":""Elizabeth Warren"",""probability"":0.05555555555555555,""type"":""PROBABILITY""},{""name"":""Alexandria Ocasio-Cortez"",""probability"":0.02664535038635758,""type"":""PROBABILITY""},{""name"":""Michelle Obama"",""probability"":0.049293898214761524,""type"":""PROBABILITY""},{""name"":""Pete Buttigieg"",""probability"":0.06661337596589395,""type"":""PROBABILITY""},{""name"":""Gavin Newsom"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Nina Turner"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Andrew Cuomo"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Bernie Sanders"",""probability"":0.022248867572608577,""type"":""PROBABILITY""},{""name"":""Rashida Tlaib"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ayanna Pressley"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Andrew Yang"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Amy Klobuchar"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Eric Garcetti"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Cory Booker"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Gretchen Whitmer"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Bloomberg"",""probability"":0.001332267519317879,""type"":""PROBABILITY""}]","Who will be the Democratic candidate for the 2024 US presidential election? Other contracts added on request.",,"★★☆☆☆"
"2024 Republican presidential nominee","https://smarkets.com/event/41936834/politics/us/2024-presidential-election/2024-republican-presidential-nominee","Smarkets","[{""name"":""Donald Trump"",""probability"":0.2906196048340687,""type"":""PROBABILITY""},{""name"":""Donald Trump Jr."",""probability"":0.03203529637444849,""type"":""PROBABILITY""},{""name"":""Tom Cotton"",""probability"":0.045655093036639165,""type"":""PROBABILITY""},{""name"":""Mike Pence"",""probability"":0.06618070209092652,""type"":""PROBABILITY""},{""name"":""Tucker Carlson"",""probability"":0.04162670247458277,""type"":""PROBABILITY""},{""name"":""Ted Cruz"",""probability"":0.07999232687511988,""type"":""PROBABILITY""},{""name"":""Nikki Haley"",""probability"":0.2085171686169192,""type"":""PROBABILITY""},{""name"":""Marco Rubio"",""probability"":0.03203529637444849,""type"":""PROBABILITY""},{""name"":""Josh Hawley"",""probability"":0.08344523307116822,""type"":""PROBABILITY""},{""name"":""Ivanka Trump"",""probability"":0.11989257625167848,""type"":""PROBABILITY""},{""name"":""Mike Pompeo"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Dan Crenshaw"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Chris Christie"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Eric Trump"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Larry Hogan"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Rick Scott"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Tim Scott"",""probability"":0,""type"":""PROBABILITY""}]","Who will be the Republican candidate for the 2024 US presidential election? Other contracts added on request.",,"★★☆☆☆"
"2024 US presidential winner","https://smarkets.com/event/41938283/politics/us/2024-presidential-election/2024-presidential-winner","Smarkets","[{""name"":""Joe Biden"",""probability"":0.159437848315968,""type"":""PROBABILITY""},{""name"":""Kamala Harris"",""probability"":0.24230676035861398,""type"":""PROBABILITY""},{""name"":""Donald Trump"",""probability"":0.13460140537921006,""type"":""PROBABILITY""},{""name"":""Tucker Carlson"",""probability"":0.027501817300702686,""type"":""PROBABILITY""},{""name"":""Tom Cotton"",""probability"":0.0121153380179307,""type"":""PROBABILITY""},{""name"":""Mike Pence"",""probability"":0.0484613520717228,""type"":""PROBABILITY""},{""name"":""Donald Trump Jr."",""probability"":0.07123818754543251,""type"":""PROBABILITY""},{""name"":""Ted Cruz"",""probability"":0.0242306760358614,""type"":""PROBABILITY""},{""name"":""Alexandria Ocasio-Cortez"",""probability"":0.08080930457959776,""type"":""PROBABILITY""},{""name"":""Michelle Obama"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Nikki Haley"",""probability"":0.07814393021565301,""type"":""PROBABILITY""},{""name"":""Elizabeth Warren"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Gavin Newsom"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Andrew Cuomo"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Marco Rubio"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Nina Turner"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Pete Buttigieg"",""probability"":0.060576690089653495,""type"":""PROBABILITY""},{""name"":""Bernie Sanders"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Rashida Tlaib"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Josh Hawley"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Mike Pompeo"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Dan Crenshaw"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ayanna Pressley"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Chris Christie"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ivanka Trump"",""probability"":0.060576690089653495,""type"":""PROBABILITY""},{""name"":""Candace Owens"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Bloomberg"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ron DeSantis"",""probability"":0,""type"":""PROBABILITY""}]","Who will win the 2024 United States presidential election? Candidates added on request.",,"★★☆☆☆"
"Will the Brexit/Reform Party reach 10% in a YouGov poll?","https://smarkets.com/event/41944336/politics/uk/nigel-farage/brexit-reform-party-to-poll-10","Smarkets","[{""name"":""Yes"",""probability"":0.12087805821487284,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8791219417851271,""type"":""PROBABILITY""}]","Will the Brexit Party or Reform Party reach 10% in a UK voting intention poll conducted by YouGov by 23 March 2021?",,"★★☆☆☆"
"2021 London mayoral election second place","https://smarkets.com/event/41944560/politics/uk/2021-elections/2021-london-mayoral-election-2nd-place","Smarkets","[{""name"":""Shaun Bailey"",""probability"":0.8203969519758992,""type"":""PROBABILITY""},{""name"":""Sadiq Khan"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Siân Berry"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Luisa Porritt"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Brian Rose"",""probability"":0.1303384724437356,""type"":""PROBABILITY""},{""name"":""Mandu Reid"",""probability"":0.049264575580365046,""type"":""PROBABILITY""}]","Who will finish in second place in the 2021 London mayoral election? Candidates added on request.",,"★★☆☆☆"
"Women's Equality Party to win a seat in the London Assembly","https://smarkets.com/event/41945749/politics/uk/2021-elections/london-assembly-women-s-equality-party-to-win-a-seat","Smarkets","[{""name"":""Yes"",""probability"":0.13046653884780424,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8695334611521957,""type"":""PROBABILITY""}]","Will the Women's Equality Party win at least one seat in the London Assembly at the 2021 London Assembly election?",,"★★☆☆☆"
"Party's Candidate to win the the 2024 US election","https://smarkets.com/event/41945845/politics/us/2024-presidential-election/party-to-win-the-presidential-election","Smarkets","[{""name"":""Republican"",""probability"":0.4087618689480116,""type"":""PROBABILITY""},{""name"":""Democrat"",""probability"":0.5912381310519883,""type"":""PROBABILITY""}]","Contracts available on request.",,"★★☆☆☆"
"London Assembly: Labour majority","https://smarkets.com/event/41945873/politics/uk/2021-elections/london-assembly-labour-majority","Smarkets","[{""name"":""Yes"",""probability"":0.41771041084962107,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5822895891503789,""type"":""PROBABILITY""}]","Will Labour win a majority on the London Assembly following the 2021 election?",,"★★☆☆☆"
"Senate-confirmed Treasury Secretary on 1st March 2021","https://smarkets.com/event/41947815/politics/us/biden-s-first-cabinet/senate-confirmed-treasury-secretary-on-1st-march-2021","Smarkets","[{""name"":""Lael Brainard"",""probability"":0.06041120230137913,""type"":""PROBABILITY""},{""name"":""Janet Yellen"",""probability"":0.8377189271511972,""type"":""PROBABILITY""},{""name"":""Roger Ferguson"",""probability"":0.03130552500211524,""type"":""PROBABILITY""},{""name"":""Steve Mnuchin"",""probability"":0.05643455453084017,""type"":""PROBABILITY""},{""name"":""Sarah Bloom Raskin"",""probability"":0.014129791014468228,""type"":""PROBABILITY""},{""name"":""Raphael Bostic"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Gia Raimondo"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Elizabeth Warren"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Mellody Hobson"",""probability"":0,""type"":""PROBABILITY""}]","Contracts added on request",,"★★☆☆☆"
"Senate-confirmed Attorney General on 1st March 2021","https://smarkets.com/event/41947823/politics/us/biden-s-first-cabinet/attorney-general","Smarkets","[{""name"":""Doug Jones"",""probability"":0.006960879855213698,""type"":""PROBABILITY""},{""name"":""Sally Yates"",""probability"":0.2597104273980231,""type"":""PROBABILITY""},{""name"":""Xavier Becerra"",""probability"":0.011624669358206875,""type"":""PROBABILITY""},{""name"":""Bill Barr"",""probability"":0.004663789502993178,""type"":""PROBABILITY""},{""name"":""Amy Klobuchar"",""probability"":0.011624669358206875,""type"":""PROBABILITY""},{""name"":""Tom Perez"",""probability"":0.009257970207434218,""type"":""PROBABILITY""},{""name"":""Julian Castro"",""probability"":0.006960879855213698,""type"":""PROBABILITY""},{""name"":""Merrick Garland"",""probability"":0.6891967144647082,""type"":""PROBABILITY""}]","Contracts added on request.",,"★★☆☆☆"
"Senate-confirmed Secretary of State on the 15th February 2021","https://smarkets.com/event/41947824/politics/us/biden-s-first-cabinet/secretary-of-state","Smarkets","[{""name"":""Susan Rice"",""probability"":0.0781983109164842,""type"":""PROBABILITY""},{""name"":""Chris Coons"",""probability"":0.09540193931811071,""type"":""PROBABILITY""},{""name"":""Antony Blinken"",""probability"":0.7742414763841101,""type"":""PROBABILITY""},{""name"":""Mike Pompeo"",""probability"":0.05215827338129496,""type"":""PROBABILITY""},{""name"":""William Burns"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Chris Murphy"",""probability"":0,""type"":""PROBABILITY""}]","Contracts added on request.",,"★★☆☆☆"
"How many party leaders will still be in post at the end of 2021?","https://smarkets.com/event/41947872/politics/uk/uk-party-leaders/party-leaders-at-end-of-2021","Smarkets","[{""name"":""Fewer than 3"",""probability"":0.10729116368903911,""type"":""PROBABILITY""},{""name"":""Exactly 3"",""probability"":0.33771125060357315,""type"":""PROBABILITY""},{""name"":""Exactly 4"",""probability"":0.5549975857073878,""type"":""PROBABILITY""}]","How many of the following four party leaders will still be in position on 31 December 2021: Boris Johnson, Keir Starmer, Ed Davey and Nicola Sturgeon?",,"★★☆☆☆"
"2021 Norwegian election: Most votes","https://smarkets.com/event/41955745/politics/europe/norway/2021-norwegian-parliamentary-election","Smarkets","[{""name"":""Conservative (Høyre)"",""probability"":0.49461823074335687,""type"":""PROBABILITY""},{""name"":""Labour (Arbeiderpartiet)"",""probability"":0.24024554322233435,""type"":""PROBABILITY""},{""name"":""Centre (Senterpartiet)"",""probability"":0.17162798520013453,""type"":""PROBABILITY""},{""name"":""Progress (Fremskrittspartiet)"",""probability"":0.04675412041708711,""type"":""PROBABILITY""},{""name"":""Socialist Left (Sosialistisk Venstreparti)"",""probability"":0.04675412041708711,""type"":""PROBABILITY""}]","Which party will receive the highest vote share in the 2021 Norwegian parliamentary election? (Norwegian names in brackets)",,"★★☆☆☆"
"2021 Norwegian election: Largest minor party","https://smarkets.com/event/41955751/politics/europe/norway/2021-norwegian-election-largest-minor-party","Smarkets","[{""name"":""Centre (Senterpartiet)"",""probability"":0.7432820245238717,""type"":""PROBABILITY""},{""name"":""Progress (Fremskrittspartiet)"",""probability"":0.17392816766675365,""type"":""PROBABILITY""},{""name"":""Socialist Left (Sosialistisk Venstreparti)"",""probability"":0.08278980780937473,""type"":""PROBABILITY""}]","Which party will receive the highest vote share in the 2021 Norwegian election, excluding the Conservative and Labour parties? Parties added on request.",,"★★☆☆☆"
"2021 Dutch election: PVV seats","https://smarkets.com/event/41957097/politics/europe/netherlands/2021-dutch-election-pvv-seats","Smarkets","[{""name"":""Fewer than 20"",""probability"":0.37535993418346364,""type"":""PROBABILITY""},{""name"":""20–24"",""probability"":0.32651172357054714,""type"":""PROBABILITY""},{""name"":""25 or more"",""probability"":0.29812834224598933,""type"":""PROBABILITY""}]","How many seats will PVV win in the 2021 Dutch general election?",,"★★☆☆☆"
"2021 Dutch election: Government seats","https://smarkets.com/event/41958584/politics/europe/netherlands/2021-dutch-election-government-seats","Smarkets","[{""name"":""Fewer than 65"",""probability"":0.16449558546822984,""type"":""PROBABILITY""},{""name"":""65–69"",""probability"":0.2783326096396005,""type"":""PROBABILITY""},{""name"":""70–74"",""probability"":0.27001013171225935,""type"":""PROBABILITY""},{""name"":""75 or more"",""probability"":0.28716167317991026,""type"":""PROBABILITY""}]","How many seats will the People's Party for Freedom and Democracy (VVD), Christian Democratic Appeal (CDA), Democrats 66 (D66) and Christian Union (CU) win in the 2021 Dutch general election?",,"★★☆☆☆"
"2021 Dutch election: Biggest left party","https://smarkets.com/event/41958591/politics/europe/netherlands/2021-dutch-election-biggest-left-party","Smarkets","[{""name"":""GroenLinks"",""probability"":0.33217726396917147,""type"":""PROBABILITY""},{""name"":""Socialist Party (Socialistische Partij)"",""probability"":0.15539499036608861,""type"":""PROBABILITY""},{""name"":""Labour Party (Partij van de Arbeid)"",""probability"":0.5124277456647399,""type"":""PROBABILITY""}]","Which of the following three parties will win the most seats in the 2021 Dutch general election: GroenLinks, Socialist Party or Labour Party?",,"★★☆☆☆"
"Brexit Party to control any council","https://smarkets.com/event/41967411/politics/uk/local-elections/brexit-party-to-control-any-council","Smarkets","[{""name"":""Yes"",""probability"":0.050332192470304,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.949667807529696,""type"":""PROBABILITY""}]","Will the Brexit Party/Reform Party win a majority of seats on any council at the 2021 local elections?",,"★★☆☆☆"
"Brexit Party to win a seat in the London Assembly","https://smarkets.com/event/41967432/politics/uk/2021-elections/brexit-party-to-win-a-london-assembly-seat","Smarkets","[{""name"":""Yes"",""probability"":0.3273897602841077,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.6726102397158923,""type"":""PROBABILITY""}]","Will the Brexit Party/Reform Party win at least one seat in the London Assembly at the 2021 London Assembly election?",,"★★☆☆☆"
"London Assembly: Liberal Democrat seats","https://smarkets.com/event/41968727/politics/uk/2021-elections/london-assembly-liberal-democrat-seats","Smarkets","[{""name"":""0–2"",""probability"":0.735589201021525,""type"":""PROBABILITY""},{""name"":""3 or more"",""probability"":0.26441079897847497,""type"":""PROBABILITY""}]","How many seats will the Liberal Democrats win in the 2021 London Assembly election?",,"★★☆☆☆"
"Joe Biden's first international visit","https://smarkets.com/event/41980144/politics/us/joe-biden/biden-s-first-international-visit","Smarkets","[{""name"":""United Kingdom"",""probability"":0.6994758816736253,""type"":""PROBABILITY""},{""name"":""Republic of Ireland"",""probability"":0.22208403659944925,""type"":""PROBABILITY""},{""name"":""France"",""probability"":0.03553344585591188,""type"":""PROBABILITY""},{""name"":""Germany"",""probability"":0.02958159367504664,""type"":""PROBABILITY""},{""name"":""China"",""probability"":0.004441680731988985,""type"":""PROBABILITY""},{""name"":""Ukraine"",""probability"":0.00888336146397797,""type"":""PROBABILITY""}]","Which of these countries will be visited by Joe Biden first in his role as President of the United States?",,"★★☆☆☆"
"Biden approval on day 100","https://smarkets.com/event/42015053/politics/us/joe-biden/biden-approval-on-day-100","Smarkets","[{""name"":""Under 45%"",""probability"":0.031069884726224784,""type"":""PROBABILITY""},{""name"":""45–49.9%"",""probability"":0.18759005763688757,""type"":""PROBABILITY""},{""name"":""50–54.9%"",""probability"":0.35455691642651294,""type"":""PROBABILITY""},{""name"":""55–59.9%"",""probability"":0.3310518731988472,""type"":""PROBABILITY""},{""name"":""60–64.9%"",""probability"":0.08186239193083573,""type"":""PROBABILITY""},{""name"":""65% or over"",""probability"":0.013868876080691641,""type"":""PROBABILITY""}]","What will Joe Biden's approval rating be on FiveThirtyEight on day 100 of his presidency?",,"★★☆☆☆"
"Matt Hancock to remain Health Secretary","https://smarkets.com/event/42015339/politics/uk/cabinet/matt-hancock-to-leave-post","Smarkets","[{""name"":""Yes"",""probability"":0.8372011251758087,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.16279887482419128,""type"":""PROBABILITY""}]","Will Matt Hancock be in position as Health Secretary on 1 July 2021?",,"★★☆☆☆"
"Gavin Williamson to remain Education Secretary","https://smarkets.com/event/42015372/politics/uk/cabinet/gavin-williamson-to-remain-education-secretary","Smarkets","[{""name"":""Yes"",""probability"":0.7583376623376623,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.2416623376623377,""type"":""PROBABILITY""}]","Will Gavin Williamson be in position as Education Secretary on 1 July 2021?",,"★★☆☆☆"
"Party to provide the Premier following the 2021 Western Australia state election","https://smarkets.com/event/42020442/politics/world/australian-politics/western-australia-general-election","Smarkets","[{""name"":""Labor"",""probability"":0.7427606901725431,""type"":""PROBABILITY""},{""name"":""Coalition"",""probability"":0.10720180045011252,""type"":""PROBABILITY""},{""name"":""Greens"",""probability"":0.07501875468867217,""type"":""PROBABILITY""},{""name"":""Any other party"",""probability"":0.07501875468867217,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"2021 West Yorkshire mayoral election winner","https://smarkets.com/event/42020574/politics/uk/local-elections/2021-west-yorkshire-mayoral-election","Smarkets","[{""name"":""Tracy Brabin"",""probability"":0.8051441932969603,""type"":""PROBABILITY""},{""name"":""Conservative Party candidate"",""probability"":0.19485580670303976,""type"":""PROBABILITY""}]","Who will be elected mayor of West Yorkshire in the 2021 mayoral election? Contracts added on request.",,"★★☆☆☆"
"Rutherglen and Hamilton West by-election winner","https://smarkets.com/event/42022415/politics/uk/by-elections/rutherglen-and-hamilton-west-by-election","Smarkets","[{""name"":""SNP"",""probability"":0.8041970638566154,""type"":""PROBABILITY""},{""name"":""Labour"",""probability"":0.19580293614338465,""type"":""PROBABILITY""}]","Which party will win the Rutherglen and Hamilton West by-election? Contracts added on request.",,"★★☆☆☆"
"Most seats in the Bulgarian National Assembly election","https://smarkets.com/event/42022501/politics/europe/bulgaria/bulgarian-national-assembly-election-2021","Smarkets","[{""name"":""GERB"",""probability"":0.580894931124516,""type"":""PROBABILITY""},{""name"":""BSP"",""probability"":0.38804357612316553,""type"":""PROBABILITY""},{""name"":""ITN"",""probability"":0.031061492752318356,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Rutherglen and Hamilton West by-election: SNP vote share","https://smarkets.com/event/42025571/politics/uk/by-elections/rutherglen-and-hamilton-west-by-election-snp-share","Smarkets","[{""name"":""Under 45%"",""probability"":0.32353451266042316,""type"":""PROBABILITY""},{""name"":""45.0–49.9%"",""probability"":0.4250780437044745,""type"":""PROBABILITY""},{""name"":""50% or over"",""probability"":0.2513874436351023,""type"":""PROBABILITY""}]","What percentage of the vote will the SNP candidate receive in the Rutherglen and Hamilton West by-election?",,"★★☆☆☆"
"Netanyahu to be Israeli PM on 1 July?","https://smarkets.com/event/42025628/politics/world/israel/will-netanyahu-be-israeli-pm-on-1-july","Smarkets","[{""name"":""Yes"",""probability"":0.724179585262734,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.27582041473726593,""type"":""PROBABILITY""}]","Will Benjamin Netanyahu be Prime Minister of Israel on 1 July 2021?",,"★★☆☆☆"
"London elections: In-person voting","https://smarkets.com/event/42026863/politics/uk/2021-elections/london-elections-in-person-voting","Smarkets","[{""name"":""In-person and postal voting"",""probability"":0.947219512195122,""type"":""PROBABILITY""},{""name"":""Postal voting only"",""probability"":0.05278048780487805,""type"":""PROBABILITY""}]","Will in-person voting go ahead in the 2021 London elections, or will they be conducted by postal voting only?",,"★★☆☆☆"
"London Elections to take place on 6th May 2021","https://smarkets.com/event/42031427/politics/uk/2021-elections/london-elections-to-go-ahead","Smarkets","[{""name"":""Yes"",""probability"":0.8996919522525991,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.10030804774740085,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
